objectid,network,type,status,strategic_cycling_corridor,local_name,local_type,rd_num,name,side,facility_left,surface_left,width_left,facility_right,surface_right,width_right,lighting,verified_date,bearing,scc_name,comments
1910,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1911,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1912,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1913,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1914,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1915,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1916,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1917,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1918,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1919,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1920,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1921,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1922,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1923,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1924,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1925,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1926,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1927,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1928,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1929,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1930,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1931,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1932,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1933,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1934,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
